Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P_per100,3PA,3P%,2P_per100,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,ID,customID
1,Precious Achiuwa,PF,21,MIA,61,4,737,8.4,15.4,0.544,0,0.1,0,8.4,15.3,0.546,3.8,7.4,0.509,4.9,9.1,14,2,1.3,1.9,2.9,6.1,20.5,107,109,achiupr01,Precious AchiuwaMIA
2,Jaylen Adams,PG,24,MIL,7,0,18,2.6,20.9,0.125,0,5.2,0,2.6,15.7,0.167,0,0,,0,7.8,7.8,5.2,0,0,0,2.6,5.2,45,116,adamsja01,Jaylen AdamsMIL
3,Steven Adams,C,27,NOP,58,58,1605,5.6,9.2,0.614,0,0.1,0,5.6,9.1,0.62,1.8,4,0.444,6.4,9,15.4,3.3,1.6,1.1,2.3,3.4,13.1,122,112,adamsst01,Steven AdamsNOP
4,Bam Adebayo,C,23,MIA,64,64,2143,10.6,18.5,0.57,0,0.2,0.25,10.5,18.4,0.573,6.6,8.2,0.799,3.3,10,13.3,8,1.7,1.5,3.9,3.4,27.7,122,108,adebaba01,Bam AdebayoMIA
5,LaMarcus Aldridge,C,35,TOT,26,23,674,10.1,21.3,0.473,2.2,5.8,0.388,7.8,15.5,0.505,2.9,3.4,0.872,1.4,7.1,8.5,3.5,0.8,2.1,1.9,3.4,25.3,109,113,aldrila01,LaMarcus AldridgeTOT
5,LaMarcus Aldridge,C,35,SAS,21,18,544,10.3,22.1,0.464,2.4,6.7,0.36,7.9,15.4,0.509,2.8,3.3,0.838,1.5,6.9,8.4,3.2,0.7,1.6,1.8,3.2,25.7,108,114,aldrila01,LaMarcus AldridgeSAS
5,LaMarcus Aldridge,C,35,BRK,5,5,130,9.3,17.8,0.521,1.5,1.9,0.8,7.8,16,0.488,3.7,3.7,1,0.7,8.2,8.9,4.8,1.1,4.1,2.6,4.1,23.7,117,110,aldrila01,LaMarcus AldridgeBRK
6,Ty-Shon Alexander,SG,22,PHO,15,0,47,3.2,12.6,0.25,2.1,9.5,0.222,1.1,3.2,0.333,1.1,2.1,0.5,2.1,8.4,10.5,6.3,0,1.1,3.2,2.1,9.5,84,114,alexaty01,Ty-Shon AlexanderPHO
7,Nickeil Alexander-Walker,SG,22,NOP,46,13,1007,9.1,21.8,0.419,3.6,10.4,0.347,5.5,11.4,0.485,2.3,3.1,0.727,0.6,6.2,6.9,4.9,2.2,1,3.3,4.2,24.2,101,112,alexani01,Nickeil Alexander-WalkerNOP
8,Grayson Allen,SG,25,MEM,50,38,1259,6.6,15.7,0.418,4.1,10.4,0.391,2.5,5.3,0.471,3,3.5,0.868,0.7,5.4,6.1,4.1,1.7,0.3,1.8,2.7,20.2,116,113,allengr01,Grayson AllenMEM
9,Jarrett Allen,C,22,TOT,63,45,1864,7.9,12.7,0.618,0.2,0.5,0.316,7.7,12.2,0.631,5.4,7.6,0.703,5.2,11.5,16.6,2.8,0.8,2.4,2.6,2.5,21.2,127,112,allenja01,Jarrett AllenTOT
9,Jarrett Allen,C,22,BRK,12,5,320,6.6,9.8,0.677,0,0,,6.6,9.8,0.677,6.9,9.2,0.754,5.7,13.1,18.8,3,1.1,2.9,3.3,3.2,20.2,135,109,allenja01,Jarrett AllenBRK
9,Jarrett Allen,C,22,CLE,51,40,1544,8.1,13.3,0.609,0.2,0.6,0.316,7.9,12.7,0.623,5,7.3,0.69,5,11.1,16.2,2.7,0.8,2.3,2.5,2.4,21.5,125,112,allenja01,Jarrett AllenCLE
10,Al-Farouq Aminu,PF,30,TOT,23,14,434,4.3,11.1,0.384,0.9,4.1,0.216,3.4,6.9,0.484,2,2.5,0.818,2.5,9.9,12.3,3.5,2.1,1,3.1,3.2,11.4,91,111,aminual01,Al-Farouq AminuTOT
10,Al-Farouq Aminu,PF,30,ORL,17,14,367,4.8,11.8,0.404,0.9,4.1,0.226,3.8,7.7,0.5,1.9,2.3,0.824,2.7,9.4,12.1,3.8,2.3,1.2,3.3,2.9,12.3,93,111,aminual01,Al-Farouq AminuORL
10,Al-Farouq Aminu,PF,30,CHI,6,0,67,1.4,7.2,0.2,0.7,4.3,0.167,0.7,2.9,0.25,2.9,3.6,0.8,1.4,12.3,13.7,1.4,1.4,0,2.2,5.1,6.5,77,111,aminual01,Al-Farouq AminuCHI
11,Kyle Anderson,PF,27,MEM,69,69,1887,7.8,16.7,0.468,2.4,6.6,0.36,5.4,10.1,0.539,3.6,4.7,0.783,1.3,8.7,10,6.3,2.1,1.4,2.2,3,21.6,118,109,anderky01,Kyle AndersonMEM
12,Giannis Antetokounmpo,PF,26,MIL,61,61,2013,14.6,25.7,0.569,1.6,5.2,0.303,13,20.5,0.636,9.3,13.6,0.685,2.3,13.4,15.7,8.3,1.7,1.7,4.8,3.9,40.1,122,107,antetgi01,Giannis AntetokounmpoMIL
13,Kostas Antetokounmpo,PF,23,LAL,15,0,56,2.6,8.7,0.3,0,0,,2.6,8.7,0.3,5.2,11.3,0.462,3.5,13,16.5,0.9,1.7,3.5,9.6,6.9,10.4,56,100,antetko01,Kostas AntetokounmpoLAL
14,Thanasis Antetokounmpo,SF,28,MIL,57,3,551,5.7,11.7,0.489,0.6,2.5,0.241,5.1,9.2,0.556,2.1,4.2,0.51,4.6,6,10.6,3.9,1.9,0.9,3.7,6.3,14.1,104,112,antetth01,Thanasis AntetokounmpoMIL
15,Carmelo Anthony,PF,36,POR,69,3,1690,9.4,22.4,0.421,3.8,9.4,0.409,5.6,13,0.429,4,4.4,0.89,0.9,5.3,6.2,3,1.3,1.1,1.8,4.2,26.7,112,117,anthoca01,Carmelo AnthonyPOR
16,Cole Anthony,PG,20,ORL,47,34,1273,8.4,21.1,0.397,2.2,6.6,0.337,6.2,14.5,0.424,4.2,5,0.832,1.5,7,8.4,7.3,1.1,0.7,4.1,3.7,23.1,98,116,anthoco01,Cole AnthonyORL
17,OG Anunoby,SF,23,TOR,43,43,1433,8.4,17.5,0.48,3.5,8.8,0.398,4.9,8.7,0.562,2.7,3.4,0.784,1.8,6.2,8,3.2,2.2,1.1,2.5,3.9,23,113,112,anunoog01,OG AnunobyTOR
18,Ryan Arcidiacono,PG,26,CHI,44,0,450,5.3,12.6,0.419,2.7,7.2,0.373,2.6,5.4,0.48,1.4,2.2,0.65,0.5,6.7,7.2,6,1,0,1.1,5.1,14.7,118,114,arcidry01,Ryan ArcidiaconoCHI
19,Trevor Ariza,SF,35,MIA,30,27,841,5.8,14.2,0.411,3,8.4,0.35,2.9,5.8,0.5,2,2.6,0.773,1.6,6.9,8.5,3.2,1.8,1.1,1.2,3.2,16.7,111,111,arizatr01,Trevor ArizaMIA
