customID,Dist.,2P,0_3,3_10,10_16,16_3P,3P,Dunks,corner3_att
Precious AchiuwaTOR,10.2,0.741,0.348,0.274,0.085,0.035,0.259,67,0.429
Steven AdamsMEM,2.9,0.997,0.693,0.26,0.042,0.003,0.003,48,0
Bam AdebayoMIA,7,0.992,0.395,0.309,0.2,0.088,0.008,119,0
Santi AldamaMEM,12,0.636,0.333,0.205,0.091,0.008,0.364,10,0.229
LaMarcus AldridgeBRK,12.3,0.9,0.21,0.17,0.24,0.279,0.1,18,0.283
Nickeil Alexander-WalkerTOT,15.8,0.503,0.213,0.162,0.071,0.057,0.497,8,0.24
Nickeil Alexander-WalkerNOP,15.6,0.517,0.217,0.166,0.074,0.06,0.483,8,0.23
Nickeil Alexander-WalkerUTA,18.4,0.313,0.167,0.104,0.021,0.021,0.688,0,0.333
Grayson AllenMIL,19.2,0.316,0.158,0.097,0.047,0.014,0.684,10,0.26
Jarrett AllenCLE,3.8,0.982,0.624,0.294,0.046,0.018,0.018,164,0.6
Jose AlvaradoNOP,13.6,0.626,0.235,0.248,0.099,0.044,0.374,0,0.227
Justin AndersonTOT,18.9,0.379,0.147,0.095,0.042,0.095,0.621,1,0.339
Justin AndersonCLE,22,0.25,0.125,0,0,0.125,0.75,0,0.333
Justin AndersonIND,18.6,0.391,0.149,0.103,0.046,0.092,0.609,1,0.34
Kyle AndersonMEM,10.7,0.768,0.279,0.303,0.141,0.045,0.232,19,0.422
Giannis AntetokounmpoMIL,10,0.806,0.406,0.198,0.12,0.082,0.194,179,0.025
Thanasis AntetokounmpoMIL,5.3,0.891,0.672,0.172,0.039,0.008,0.109,25,0.429
Carmelo AnthonyLAL,19.1,0.451,0.101,0.066,0.152,0.131,0.549,11,0.171
Cole AnthonyORL,16.2,0.571,0.147,0.214,0.095,0.115,0.429,14,0.087
OG AnunobyTOR,15.1,0.545,0.263,0.125,0.08,0.077,0.455,62,0.293
Ryan ArcidiaconoNYK,21.5,0.25,0,0.083,0.167,0,0.75,0,0.222
Trevor ArizaLAL,19.3,0.253,0.162,0.081,0.01,0,0.747,1,0.365
D.J. AugustinTOT,20.3,0.261,0.131,0.086,0.018,0.027,0.739,0,0.238
D.J. AugustinHOU,19.8,0.294,0.162,0.074,0.022,0.037,0.706,0,0.156
D.J. AugustinLAL,21.1,0.209,0.081,0.105,0.012,0.012,0.791,0,0.353
Deni AvdijaWAS,14.4,0.553,0.221,0.261,0.04,0.031,0.447,7,0.247
Joel AyayiWAS,12.6,0.833,0.167,0.333,0.167,0.167,0.167,0,0
Deandre AytonPHO,7,0.973,0.333,0.397,0.184,0.059,0.027,95,0
Udoka AzubuikeUTA,2.8,1,0.694,0.286,0.02,0,0,26,
Marvin Bagley IIITOT,9.2,0.783,0.327,0.363,0.081,0.011,0.217,52,0.485
Marvin Bagley IIISAC,10,0.748,0.289,0.35,0.098,0.012,0.252,18,0.613
Marvin Bagley IIIDET,8.1,0.825,0.375,0.38,0.06,0.01,0.175,34,0.257
LaMelo BallCHO,15.9,0.549,0.204,0.176,0.104,0.065,0.451,24,0.152
Lonzo BallCHI,19.9,0.321,0.154,0.047,0.057,0.063,0.679,6,0.235
Mo BambaORL,14.3,0.545,0.285,0.157,0.045,0.057,0.455,85,0.27
Desmond BaneMEM,16.8,0.525,0.153,0.156,0.116,0.099,0.475,6,0.184
Dalano BantonTOR,11,0.748,0.332,0.233,0.119,0.064,0.252,6,0.235
Cat BarberATL,9.6,1,0.5,0,0,0.5,0,0,
Harrison BarnesSAC,13.5,0.568,0.237,0.283,0.041,0.007,0.432,25,0.308
Scottie BarnesTOR,10.9,0.793,0.264,0.325,0.116,0.088,0.207,62,0.28
