PLAYER,PLAYER_clean,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
1. Erik Karlsson,Erik Karlsson,32,RD,Right,50,10,25,35,0.7,-14,117,0.09,23:28:00,6.79,117,248,170,0.35,5.98,12.68,8.69,697,611,53.29,1247,1118,52.73,955,838,53.26,67.5,67.97,49.83,Standard (1-way),"$11,500,000","$12,000,000"
2. Drew Doughty,Drew Doughty,32,RD,Right,39,7,24,31,0.79,4,99,0.07,25:44:00,5.45,99,183,127,0.33,5.92,10.94,7.59,615,434,58.63,1092,769,58.68,831,592,58.4,59.52,48.65,55.02,Standard (1-way),"$11,000,000","$11,000,000"
3. Zachary Werenski,Zachary Werenski,24,LD,Left,68,11,37,48,0.71,-15,216,0.05,25:39:00,12.22,216,428,313,0.42,7.43,14.72,10.76,999,982,50.43,1902,1654,53.49,1423,1305,52.16,98.04,96.15,50.49,Standard (1-way),"$9,583,333","$10,000,000"
4. Charlie McAvoy,Charlie McAvoy,24,RD,Right,78,10,46,56,0.72,31,166,0.06,24:39:00,8.82,166,295,227,0.28,5.18,9.21,7.09,1312,897,59.39,2136,1628,56.75,1718,1212,58.63,121.49,82.31,59.61,Standard (1-way),"$9,500,000","$9,250,000"
5. Adam Fox,Adam Fox,24,RD,Right,78,11,63,74,0.95,18,158,0.07,23:54:00,8.49,158,275,197,0.27,5.08,8.85,6.34,1016,866,53.99,1798,1638,52.33,1398,1228,53.24,108.58,85.7,55.89,Standard (1-way),"$9,500,000","$11,000,000"
6. Seth Jones,Seth Jones,27,RD,Right,78,5,46,51,0.65,-37,194,0.03,26:12:00,9.39,194,365,255,0.28,5.69,10.71,7.48,1072,1013,51.41,1921,1830,51.21,1419,1350,51.25,96.24,99.63,49.13,Standard (1-way),"$9,500,000","$10,000,000"
7. Darnell Nurse,Darnell Nurse,27,LD,Left,71,9,26,35,0.49,18,203,0.04,25:02:00,10.26,203,410,286,0.35,6.85,13.83,9.65,1027,1020,50.17,1803,1753,50.7,1388,1372,50.29,106.51,100.6,51.43,Standard (1-way),"$9,250,000","$12,000,000"
8. Roman Josi,Roman Josi,32,LD,Left,80,23,73,96,1.2,13,281,0.08,25:33:00,15.57,281,563,385,0.46,8.25,16.52,11.3,1228,1028,54.43,2264,1821,55.42,1709,1386,55.22,122.19,98.45,55.38,Standard (1-way),"$9,059,000","$9,750,000"
9. Dougie Hamilton,Dougie Hamilton,29,RD,Right,62,9,21,30,0.48,-19,197,0.05,21:13:00,10.84,197,402,285,0.49,8.98,18.32,13,798,667,54.47,1469,1183,55.39,1115,905,55.2,73.02,66.67,52.27,Standard (1-way),"$9,000,000","$6,300,000"
10. Cale Makar,Cale Makar,23,RD,Right,77,28,58,86,1.12,48,240,0.12,25:40:00,13.33,240,494,319,0.4,7.29,15,9.68,1349,933,59.11,2387,1628,59.45,1809,1249,59.16,138.99,88.9,60.99,Standard (1-way),"$9,000,000","$9,000,000"
