PLAYER_clean,PLAYER,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,ixG,iSh,iCF,iFF,ixG60,iSh60,iCF60,iFF60,SF,SA,SF%,CF,CA,CF%,FF,FA,FF%,xGF,xGA,xGF%,TYPE,CAP HIT,SALARY
Connor McDavid,1. Connor McDavid,24,C,Left,80,44,79,123,1.54,28,314,0.14,22:03,45.55,315,481,393,1.55,10.71,16.35,13.36,1310,790,62.38,2259,1361,62.4,1746,1067,62.07,157.93,76.54,67.36,Standard (1-way),"$12,500,000","$13,000,000"
Artemi Panarin,2. Artemi Panarin,29,LW,Right,75,22,74,96,1.28,21,177,0.12,19:12,18.48,177,370,265,0.77,7.37,15.4,11.03,872,671,56.51,1600,1226,56.62,1229,939,56.69,95.23,62.67,60.31,Standard (1-way),"$11,642,857","$13,000,000"
Auston Matthews,3. Auston Matthews,23,C,Left,73,60,46,106,1.45,20,348,0.17,20:36,40.69,348,599,484,1.62,13.88,23.89,19.3,1083,638,62.93,1955,1103,63.93,1520,861,63.84,123.18,60.11,67.2,Standard (1-way),"$11,640,250","$10,470,000"
John Tavares,4. John Tavares,30,C,Left,79,27,49,76,0.96,-8,237,0.11,18:04,34.61,237,429,347,1.45,9.96,18.03,14.58,976,714,57.75,1781,1211,59.53,1383,936,59.64,110.93,61.71,64.26,Standard (1-way),"$11,000,000","$9,350,000"
Mitchell Marner,5. Mitchell Marner,24,RW,Right,72,35,62,97,1.35,23,224,0.16,20:52,26.52,224,420,315,1.06,8.94,16.76,12.57,1002,710,58.53,1845,1227,60.06,1430,962,59.78,119.57,69.66,63.19,Standard (1-way),"$10,903,000","$10,358,000"
Jonathan Toews,6. Jonathan Toews,33,C,Left,71,12,25,37,0.52,-14,125,0.1,17:28,12.87,125,188,158,0.62,6.04,9.09,7.64,639,677,48.56,1191,1198,49.85,875,903,49.21,62.49,62.13,50.14,Standard (1-way),"$10,500,000","$6,900,000"
Patrick Kane,7. Patrick Kane,32,RW,Left,78,26,66,92,1.18,-19,287,0.09,21:49,23.85,287,514,371,0.84,10.11,18.12,13.08,1023,785,56.58,1789,1409,55.94,1328,1047,55.92,90.38,79.59,53.17,Standard (1-way),"$10,500,000","$6,900,000"
Jack Eichel,8. Jack Eichel,24,C,Right,34,14,11,25,0.74,3,133,0.11,19:23,11.28,133,193,160,1.03,12.1,17.55,14.56,421,312,57.44,741,567,56.65,556,411,57.5,39.86,32.84,54.83,Standard (1-way),"$10,000,000","$10,000,000"
Anze Kopitar,9. Anze Kopitar,33,C,Left,81,19,48,67,0.83,-6,210,0.09,20:46,20.58,210,353,280,0.73,7.49,12.59,9.99,1032,774,57.14,1855,1394,57.09,1410,1039,57.57,107.03,83.76,56.1,Standard (1-way),"$10,000,000","$8,000,000"
Tyler Seguin,10. Tyler Seguin,29,"C, RW",Right,81,24,25,49,0.6,-21,218,0.11,17:49,21.72,218,345,280,0.9,9.06,14.34,11.64,829,755,52.34,1478,1351,52.24,1105,1026,51.85,87.01,72.97,54.39,Standard (1-way),"$9,850,000","$13,000,000"
Mark Stone,11. Mark Stone,29,RW,Right,37,9,21,30,0.81,7,71,0.13,18:20,12.47,71,118,94,1.1,6.28,10.43,8.31,421,320,56.82,742,605,55.09,567,435,56.59,46.71,33.56,58.19,Standard (1-way),"$9,500,000","$12,000,000"
Nikita Kucherov,12. Nikita Kucherov,28,RW,Left,47,25,44,69,1.47,1,156,0.16,19:58,16.19,156,276,214,1.03,9.97,17.63,13.67,651,443,59.51,1119,750,59.87,897,604,59.76,74.91,48.98,60.46,Standard (1-way),"$9,500,000","$12,000,000"
Jamie Benn,13. Jamie Benn,31,"LW, C",Left,82,18,28,46,0.56,-13,182,0.1,16:44,23.12,182,317,250,1.01,7.95,13.85,10.92,735,769,48.87,1344,1400,48.98,997,1063,48.4,79.23,72.02,52.38,Standard (1-way),"$9,500,000","$8,500,000"
Evgeni Malkin,14. Evgeni Malkin,34,C,Left,41,20,22,42,1.02,-10,129,0.16,18:19,14.31,129,203,158,1.13,10.3,16.21,12.61,509,339,60.02,906,560,61.8,695,441,61.18,61.11,34.71,63.78,Standard (1-way),"$9,500,000","$9,500,000"
Mikko Rantanen,15. Mikko Rantanen,24,"RW, C",Left,75,36,56,92,1.23,35,254,0.14,20:58,30.37,254,459,364,1.15,9.68,17.5,13.88,1155,731,61.24,2041,1230,62.4,1556,953,62.02,123.62,68.31,64.41,Standard (1-way),"$9,250,000","$10,000,000"
Nicklas Bäckström,16. Nicklas Bäckström,33,C,Left,47,6,25,31,0.66,-8,68,0.09,17:29,7.9,68,121,98,0.57,4.96,8.83,7.15,481,369,56.59,898,673,57.16,689,507,57.61,51.67,36.47,58.62,Standard (1-way),"$9,200,000","$10,000,000"
Kirill Kaprizov,17. Kirill Kaprizov,24,LW,Left,81,47,61,108,1.33,27,289,0.16,19:06,29.59,289,515,400,1.14,11.2,19.96,15.51,995,665,59.94,1802,1165,60.73,1352,887,60.38,99.06,63.06,61.1,Standard (1-way),"$9,000,000","$5,000,000"
Jeff Skinner,18. Jeff Skinner,29,"LW, RW",Left,80,33,30,63,0.79,-14,262,0.13,17:06,29.84,262,404,330,1.31,11.51,17.73,14.49,898,708,55.92,1531,1179,56.49,1191,965,55.24,82.65,73.62,52.89,Standard (1-way),"$9,000,000","$10,000,000"
Sidney Crosby,19. Sidney Crosby,33,C,Left,69,31,53,84,1.22,19,208,0.15,19:58,27.14,208,334,272,1.18,9.06,14.54,11.84,982,699,58.42,1712,1162,59.57,1315,912,59.05,113.16,68.7,62.22,Standard (1-way),"$8,700,000","$9,000,000"
Leon Draisaitl,20. Leon Draisaitl,25,"C, LW",Left,80,55,55,110,1.38,17,278,0.2,22:20,38.79,278,482,387,1.3,9.33,16.18,12.99,1165,921,55.85,2020,1545,56.66,1559,1231,55.88,140.82,91.87,60.52,Standard (1-way),"$8,500,000","$8,000,000"
Steven Stamkos,21. Steven Stamkos,31,"C, RW",Right,81,42,64,106,1.31,24,241,0.17,18:28,27.96,241,401,323,1.12,9.66,16.07,12.94,919,689,57.15,1656,1197,58.04,1308,937,58.26,105.18,73.72,58.79,Standard (1-way),"$8,500,000","$7,500,000"
Sebastian Aho,22. Sebastian Aho,23,"C, LW",Left,79,37,44,81,1.03,18,221,0.17,18:57,37.39,221,402,329,1.5,8.86,16.11,13.18,935,693,57.43,1704,1203,58.62,1316,960,57.82,112.82,76.28,59.66,Standard (1-way),"$8,460,250","$7,700,000"
Brady Tkachuk,23. Brady Tkachuk,21,LW,Left,79,30,37,67,0.85,-7,288,0.1,18:47,36.06,288,461,373,1.46,11.64,18.62,15.07,939,713,56.84,1698,1247,57.66,1267,975,56.51,101.01,77.37,56.63,Standard (1-way),"$8,330,674","$4,000,000"
Claude Giroux,24. Claude Giroux,33,"RW, C",Right,75,21,44,65,0.87,-5,205,0.1,19:03,16.64,205,339,268,0.7,8.6,14.22,11.24,949,656,59.13,1694,1147,59.63,1274,878,59.2,94.16,72.79,56.4,Standard (1-way),"$8,275,000","$5,000,000"
Blake Wheeler,25. Blake Wheeler,34,"RW, C",Right,65,17,43,60,0.92,-15,167,0.1,19:32,21.62,167,263,210,1.02,7.89,12.43,9.92,758,631,54.57,1372,1115,55.17,1056,865,54.97,81.79,70.43,53.73,Standard (1-way),"$8,250,000","$10,000,000"
Jakub Voracek,26. Jakub Voracek,31,"RW, LW",Left,79,6,56,62,0.78,-13,147,0.04,17:27,11.67,147,253,190,0.51,6.39,11.01,8.27,762,718,51.49,1443,1194,54.72,1081,946,53.33,72.97,71.48,50.52,Standard (1-way),"$8,250,000","$7,500,000"
Matt Duchene,27. Matt Duchene,30,"RW, C",Left,78,43,43,86,1.1,6,228,0.19,19:00,31.88,229,383,318,1.29,9.26,15.49,12.87,927,678,57.76,1726,1195,59.09,1320,911,59.17,99,69,58.93,Standard (1-way),"$8,000,000","$10,000,000"
Logan Couture,28. Logan Couture,32,C,Left,77,23,33,56,0.73,-11,199,0.12,18:55,23.54,199,314,260,0.97,8.19,12.92,10.7,833,789,51.36,1491,1491,50,1147,1092,51.23,87.59,92.32,48.69,Standard (1-way),"$8,000,000","$9,000,000"
Ryan Johansen,29. Ryan Johansen,28,"C, RW",Right,79,26,37,63,0.8,-2,118,0.22,16:33,12.91,118,182,153,0.59,5.41,8.35,7.02,773,621,55.45,1457,1107,56.83,1105,829,57.14,85.31,63.44,57.35,Standard (1-way),"$8,000,000","$8,000,000"
Phil Kessel,30. Phil Kessel,33,RW,Right,82,8,44,52,0.63,-24,175,0.05,16:40,17.36,175,310,230,0.76,7.68,13.6,10.09,712,720,49.72,1274,1239,50.7,973,963,50.26,69.15,66.54,50.96,Standard (1-way),"$8,000,000","$6,000,000"
Evgeny Kuznetsov,31. Evgeny Kuznetsov,29,C,Left,79,24,54,78,0.99,7,208,0.12,20:16,23.88,208,345,289,0.89,7.79,12.92,10.82,928,714,56.52,1664,1316,55.84,1300,999,56.55,104.93,75.03,58.31,Standard (1-way),"$7,800,000","$8,000,000"
Andrei Svechnikov,32. Andrei Svechnikov,21,"LW, RW",Left,78,30,39,69,0.88,19,249,0.12,17:15,32.79,249,467,363,1.46,11.1,20.81,16.18,932,594,61.07,1713,1050,62,1319,839,61.12,109.07,62.91,63.42,Standard (1-way),"$7,750,000","$6,000,000"
Patrik Laine,33. Patrik Laine,23,"RW, LW",Right,56,26,30,56,1,-7,167,0.16,18:49,16.64,167,317,238,0.95,9.5,18.04,13.54,613,595,50.75,1089,972,52.84,836,788,51.48,57.49,62.2,48.03,Standard (1-way),"$7,500,000","$7,500,000"
Vladimir Tarasenko,34. Vladimir Tarasenko,29,RW,Left,75,34,48,82,1.09,7,230,0.15,16:54,25.8,230,382,305,1.22,10.88,18.07,14.43,744,681,52.21,1280,1153,52.61,1006,910,52.51,82.49,70.52,53.91,Standard (1-way),"$7,500,000","$9,500,000"
Ryan O'Reilly,35. Ryan O'Reilly,30,C,Left,78,21,37,58,0.74,11,168,0.13,19:04,21.97,168,252,215,0.89,6.77,10.16,8.67,793,707,52.87,1363,1284,51.49,1043,1014,50.7,83.52,78.2,51.64,Standard (1-way),"$7,500,000","$6,000,000"
Elias Pettersson,36. Elias Pettersson,22,"C, LW",Left,80,32,36,68,0.85,1,192,0.17,18:35,24.4,192,387,290,0.98,7.74,15.61,11.7,922,696,56.98,1719,1215,58.59,1288,936,57.91,100.4,69.98,58.92,Standard (1-way),"$7,350,000","$4,000,000"
Nico Hischier,37. Nico Hischier,22,C,Left,70,21,39,60,0.86,-1,153,0.14,19:20,20.26,153,270,214,0.9,6.78,11.96,9.48,760,647,54.02,1405,1187,54.21,1073,907,54.19,77.45,72.5,51.65,Standard (1-way),"$7,250,000","$7,250,000"
Clayton Keller,38. Clayton Keller,22,"LW, RW",Left,67,28,35,63,0.94,3,177,0.16,20:08,20.84,177,274,228,0.93,7.87,12.18,10.14,675,736,47.84,1190,1238,49.01,944,970,49.32,72.87,71.2,50.58,Standard (1-way),"$7,150,000","$7,000,000"
Kyle Connor,39. Kyle Connor,24,LW,Left,79,47,46,93,1.18,-3,317,0.15,21:46,35.76,317,499,395,1.25,11.06,17.39,13.78,1068,938,53.24,1878,1590,54.15,1457,1265,53.53,118.58,100.78,54.06,Standard (1-way),"$7,142,857","$7,500,000"
Kevin Hayes,40. Kevin Hayes,29,C,Left,48,10,21,31,0.65,-20,126,0.08,17:55,9.61,126,209,160,0.67,8.78,14.58,11.16,458,497,47.96,824,862,48.87,609,659,48.03,43.19,49.82,46.44,Standard (1-way),"$7,142,857","$9,000,000"
Gabriel Landeskog,41. Gabriel Landeskog,28,"LW, C",Left,51,30,29,59,1.16,27,150,0.2,20:19,23.49,150,251,194,1.36,8.69,14.53,11.23,748,466,61.61,1352,793,63.03,1012,603,62.66,80.95,40.9,66.43,Standard (1-way),"$7,000,000","$6,000,000"
